passenger_id1,passenger_id2,number_of_flight_together,from_date,to_date
606,3169,10,2017-01-13,2017-05-06
5911,5989,10,2017-03-05,2017-05-29
2231,5522,10,2017-04-14,2017-07-12
3278,8158,10,2017-04-22,2017-06-18
2759,5443,10,2017-02-22,2017-05-09
928,2511,10,2017-02-04,2017-04-24
5464,5478,10,2017-02-17,2017-07-04
1484,2511,10,2017-02-02,2017-04-15
2857,2926,10,2017-04-22,2017-06-27
2905,2988,10,2017-01-10,2017-04-29
975,1337,10,2017-01-25,2017-04-15
8363,10368,10,2017-05-30,2017-07-13
751,760,10,2017-01-02,2017-04-29
733,739,10,2017-01-02,2017-03-04
3278,7039,10,2017-04-08,2017-06-11
4009,4083,10,2017-01-20,2017-04-12
1677,7605,10,2017-04-20,2017-06-12
2939,4399,10,2017-02-07,2017-05-12
816,866,10,2017-01-02,2017-06-17
374,752,10,2017-01-04,2017-03-25
5440,5491,10,2017-02-17,2017-05-03
4339,5414,10,2017-02-22,2017-07-16
5744,5798,10,2017-02-24,2017-07-04
2759,4373,10,2017-02-07,2017-05-09
274,275,10,2017-01-01,2017-04-13
392,9066,10,2017-05-02,2017-07-11
751,763,10,2017-01-02,2017-04-29
6084,8961,10,2017-05-29,2017-07-24
975,5423,10,2017-02-22,2017-05-06
2759,5481,10,2017-02-22,2017-05-09
226,624,10,2017-01-13,2017-07-11
9069,9098,10,2017-04-26,2017-07-24
2776,2857,10,2017-02-02,2017-05-19
4388,4399,10,2017-01-24,2017-04-02
5481,5494,10,2017-02-17,2017-05-03
477,3120,10,2017-01-21,2017-05-09
6418,6447,10,2017-03-13,2017-05-30
624,670,10,2017-01-02,2017-04-15
3418,3590,10,2017-04-30,2017-06-24
1677,4249,10,2017-02-24,2017-06-18
4682,4700,10,2017-02-02,2017-05-12
2294,4969,10,2017-02-28,2017-05-29
5966,5977,10,2017-03-05,2017-06-13
3418,4249,10,2017-04-30,2017-06-24
5423,8158,10,2017-04-22,2017-06-18
4388,4395,10,2017-01-24,2017-04-02
3590,4249,10,2017-04-30,2017-06-24
1849,9066,10,2017-05-02,2017-07-11
4012,4080,10,2017-01-20,2017-03-14
4774,6560,10,2017-04-25,2017-07-18
4260,4294,10,2017-01-22,2017-07-21
5789,6813,10,2017-04-15,2017-06-05
1865,2773,10,2017-01-20,2017-05-03
288,1343,10,2017-05-01,2017-07-28
5443,5500,10,2017-02-17,2017-05-03
701,1095,10,2017-01-04,2017-05-16
928,1371,10,2017-01-25,2017-04-15
8260,8262,10,2017-03-31,2017-07-12
4316,5443,10,2017-02-22,2017-05-09
1884,2773,10,2017-01-20,2017-05-03
1635,1677,10,2017-01-07,2017-05-30
1447,2550,10,2017-02-12,2017-06-06
4395,5490,10,2017-02-22,2017-05-19
1822,1849,10,2017-01-08,2017-07-11
9258,9282,10,2017-05-01,2017-07-23
1464,1666,10,2017-02-02,2017-04-05
5491,5494,10,2017-02-17,2017-05-03
1208,6813,10,2017-04-15,2017-06-05
760,1095,10,2017-01-04,2017-05-16
1447,4441,10,2017-02-12,2017-06-06
1677,3590,10,2017-04-22,2017-06-18
5440,5481,10,2017-02-17,2017-05-03
7810,9069,10,2017-05-02,2017-07-24
2926,3503,10,2017-03-27,2017-06-24
1884,4607,10,2017-02-07,2017-05-27
5494,5500,10,2017-02-17,2017-05-03
4249,6813,10,2017-04-30,2017-06-24
4609,4656,10,2017-02-02,2017-03-20
5440,5500,10,2017-02-17,2017-05-03
92,3802,10,2017-04-25,2017-07-24
5481,5500,10,2017-02-17,2017-05-03
1464,1696,10,2017-02-02,2017-04-05
5440,5443,10,2017-02-17,2017-05-03
407,2511,10,2017-01-21,2017-03-13
1337,2939,10,2017-01-25,2017-07-05
2681,2697,10,2017-01-10,2017-05-15
3544,3576,10,2017-01-15,2017-05-09
4009,4012,10,2017-01-20,2017-04-12
5491,5500,10,2017-02-17,2017-05-03
391,1662,10,2017-01-10,2017-04-05
2926,6813,10,2017-04-17,2017-06-24
1677,6813,10,2017-04-22,2017-06-18
5443,5494,10,2017-02-17,2017-05-03
4012,4083,10,2017-01-20,2017-04-12
5440,5494,10,2017-02-17,2017-05-03
763,1095,9,2017-01-04,2017-05-12
746,1001,9,2017-01-04,2017-04-20
4009,4080,9,2017-01-20,2017-03-14
975,2939,9,2017-01-25,2017-03-13
1666,2789,9,2017-02-02,2017-03-14
928,2959,9,2017-01-25,2017-03-13
2857,3093,9,2017-01-22,2017-06-12
3503,7872,9,2017-04-07,2017-05-30
724,1053,9,2017-01-04,2017-04-12
1208,2886,9,2017-02-02,2017-06-05
3418,6447,9,2017-05-17,2017-06-28
5706,5720,9,2017-02-24,2017-05-03
6560,8262,9,2017-04-25,2017-07-12
368,1023,9,2017-01-03,2017-04-10
2501,2556,9,2017-01-10,2017-04-16
5706,5744,9,2017-02-24,2017-05-03
3589,9258,9,2017-05-11,2017-07-23
3421,3477,9,2017-01-13,2017-05-12
1371,2511,9,2017-02-04,2017-04-15
5912,5978,9,2017-03-05,2017-05-09
928,1484,9,2017-02-04,2017-04-15
3590,7872,9,2017-04-07,2017-05-30
6447,8411,9,2017-05-01,2017-06-18
4316,4395,9,2017-01-24,2017-03-13
211,8961,9,2017-05-29,2017-07-13
4013,4059,9,2017-01-20,2017-03-10
1337,2969,9,2017-01-25,2017-03-13
1034,1616,9,2017-01-21,2017-05-02
1246,1831,9,2017-04-25,2017-07-04
625,1677,9,2017-01-21,2017-05-29
167,7162,9,2017-05-25,2017-07-23
4774,8260,9,2017-04-25,2017-07-12
746,763,9,2017-01-02,2017-01-31
928,2969,9,2017-01-25,2017-03-13
901,2857,9,2017-02-04,2017-05-19
756,4384,9,2017-02-23,2017-05-27
724,763,9,2017-01-02,2017-01-31
364,1001,9,2017-01-03,2017-04-20
3527,3937,9,2017-03-13,2017-05-21
3858,4522,9,2017-02-02,2017-06-16
3590,7866,9,2017-04-07,2017-05-30
1023,1095,9,2017-01-02,2017-01-31
4009,4399,9,2017-01-31,2017-07-13
2886,5989,9,2017-03-23,2017-05-30
8007,8089,9,2017-03-28,2017-06-11
3503,7866,9,2017-04-07,2017-05-30
1715,4820,9,2017-05-22,2017-07-18
724,740,9,2017-01-02,2017-01-31
740,772,9,2017-01-02,2017-01-31
1371,1484,9,2017-02-04,2017-04-15
5731,5743,9,2017-02-24,2017-06-05
740,746,9,2017-01-02,2017-01-31
4042,4388,9,2017-01-31,2017-04-02
4044,4080,9,2017-01-20,2017-03-14
4316,4388,9,2017-01-24,2017-03-13
2789,5401,9,2017-02-22,2017-07-19
7605,7685,9,2017-03-19,2017-07-12
2509,4609,9,2017-02-04,2017-03-20
975,2959,9,2017-01-25,2017-03-13
2773,4607,9,2017-02-07,2017-05-03
2717,5481,9,2017-02-22,2017-05-03
1337,2511,9,2017-02-04,2017-04-15
5744,5771,9,2017-02-24,2017-07-04
724,746,9,2017-01-02,2017-01-31
1041,1064,9,2017-01-02,2017-07-29
5522,7209,9,2017-05-22,2017-07-18
975,1484,9,2017-02-04,2017-04-15
4774,8262,9,2017-04-25,2017-07-12
3223,8257,9,2017-05-13,2017-07-26
4009,5426,9,2017-02-22,2017-07-13
2294,3576,9,2017-01-22,2017-05-09
1078,6003,9,2017-03-10,2017-06-27
2857,8158,9,2017-04-20,2017-06-24
2857,3590,9,2017-04-22,2017-06-24
4011,4083,9,2017-01-20,2017-03-14
7605,8190,9,2017-04-20,2017-06-05
740,763,9,2017-01-02,2017-01-31
4339,4395,9,2017-01-24,2017-05-12
1715,5522,9,2017-05-22,2017-07-18
4903,4988,9,2017-02-09,2017-04-05
1208,1677,9,2017-01-21,2017-06-05
979,1351,9,2017-01-25,2017-05-11
1865,4674,9,2017-02-07,2017-05-03
724,760,9,2017-01-02,2017-01-31
407,2959,9,2017-02-04,2017-04-02
5761,5788,9,2017-02-24,2017-05-09
4009,4044,9,2017-01-20,2017-03-14
309,385,9,2017-01-01,2017-03-06
1677,8190,9,2017-04-20,2017-06-05
5456,5490,9,2017-02-17,2017-05-12
3527,3963,9,2017-02-28,2017-05-12
4316,4399,9,2017-01-24,2017-03-13
1715,2231,9,2017-04-08,2017-07-12
5744,5769,9,2017-02-24,2017-07-11
5481,6017,9,2017-03-10,2017-06-04
2717,2867,9,2017-02-02,2017-03-13
4969,4990,9,2017-02-09,2017-05-03
740,751,9,2017-01-02,2017-01-31
6017,6064,9,2017-03-05,2017-05-12
1351,1377,9,2017-01-03,2017-04-23
4042,4399,9,2017-01-31,2017-04-02
1371,2959,9,2017-01-25,2017-03-13
2759,5440,9,2017-02-22,2017-05-03
368,1001,9,2017-01-03,2017-04-10
1666,4044,9,2017-02-07,2017-05-27
4468,5509,9,2017-04-30,2017-07-12
5198,8979,9,2017-05-02,2017-07-22
716,763,9,2017-01-02,2017-01-31
407,2759,9,2017-02-02,2017-03-13
928,4025,9,2017-02-07,2017-04-24
5414,5426,9,2017-02-17,2017-05-12
4316,5494,9,2017-02-22,2017-05-03
4056,8363,9,2017-06-25,2017-07-30
746,751,9,2017-01-02,2017-01-31
772,1001,9,2017-01-04,2017-04-20
1332,2905,9,2017-01-25,2017-04-21
901,2776,9,2017-02-04,2017-05-19
10322,10334,9,2017-05-26,2017-07-17
2117,2174,9,2017-01-09,2017-07-29
247,3188,9,2017-01-20,2017-07-12
1337,2959,9,2017-01-25,2017-03-13
419,2488,9,2017-03-03,2017-06-17
1228,1287,9,2017-01-03,2017-03-14
366,733,9,2017-01-04,2017-03-24
286,292,9,2017-01-01,2017-05-20
928,2939,9,2017-01-25,2017-03-13
2759,2867,9,2017-02-02,2017-03-13
1696,2789,9,2017-02-02,2017-03-14
4011,4012,9,2017-01-20,2017-03-14
443,2560,9,2017-01-21,2017-03-20
5530,7677,9,2017-04-18,2017-07-18
950,959,9,2017-01-02,2017-05-03
3913,3924,9,2017-01-19,2017-03-30
915,930,9,2017-01-02,2017-03-10
4066,4080,9,2017-01-20,2017-03-14
1371,2939,9,2017-01-25,2017-03-13
4820,5522,9,2017-05-22,2017-07-18
4467,4496,9,2017-01-29,2017-07-04
1484,2759,9,2017-02-02,2017-03-13
716,740,9,2017-01-02,2017-01-31
701,724,9,2017-01-02,2017-01-31
2988,4344,9,2017-02-20,2017-04-29
3021,3078,9,2017-01-10,2017-07-23
2776,2906,9,2017-02-04,2017-05-19
1208,3590,9,2017-04-17,2017-06-05
1464,2789,9,2017-02-02,2017-03-14
724,751,9,2017-01-02,2017-01-31
364,1023,9,2017-01-03,2017-04-20
407,2969,9,2017-02-04,2017-04-02
2511,2717,9,2017-02-02,2017-03-13
2511,4025,9,2017-02-07,2017-04-24
4316,5440,9,2017-02-22,2017-05-03
1371,2969,9,2017-01-25,2017-03-13
3093,5789,9,2017-03-24,2017-06-05
1677,5482,9,2017-04-20,2017-06-05
1818,2783,9,2017-02-02,2017-03-13
928,2867,9,2017-02-04,2017-04-15
4042,4395,9,2017-01-31,2017-04-02
5706,5761,9,2017-02-24,2017-05-09
1646,1677,9,2017-01-07,2017-05-19
5792,5946,9,2017-03-10,2017-07-05
3920,3937,9,2017-01-19,2017-04-30
959,997,9,2017-01-02,2017-05-03
1023,1053,9,2017-01-02,2017-01-31
701,746,9,2017-01-02,2017-01-31
950,997,9,2017-01-02,2017-05-03
4012,4044,9,2017-01-20,2017-03-14
7820,7866,9,2017-03-24,2017-05-29
308,313,9,2017-01-01,2017-03-28
1865,4607,9,2017-02-07,2017-05-03
5482,7605,9,2017-04-20,2017-06-05
4389,8078,9,2017-04-22,2017-06-04
928,4053,9,2017-02-07,2017-04-24
7605,7662,9,2017-03-19,2017-05-30
5482,8190,9,2017-04-20,2017-06-05
2857,6813,9,2017-04-22,2017-06-24
9014,9066,9,2017-04-26,2017-06-20
360,1029,9,2017-01-03,2017-07-05
1371,2867,9,2017-02-04,2017-04-15
701,716,9,2017-01-02,2017-01-31
1053,1095,9,2017-01-02,2017-01-31
4339,4399,9,2017-01-24,2017-05-12
2857,6707,9,2017-04-30,2017-06-27
2440,2486,9,2017-01-09,2017-04-23
1677,2857,9,2017-04-20,2017-06-18
1884,4674,9,2017-02-07,2017-05-03
4942,4969,9,2017-02-09,2017-05-03
4083,4339,9,2017-01-31,2017-04-12
5787,5795,9,2017-02-24,2017-05-19
751,772,9,2017-01-02,2017-01-31
2926,6707,9,2017-04-30,2017-06-27
211,6084,9,2017-05-29,2017-07-13
701,740,9,2017-01-02,2017-01-31
1733,5869,9,2017-03-01,2017-07-30
3590,5789,9,2017-04-17,2017-06-05
716,1053,9,2017-01-04,2017-04-12
4009,4011,9,2017-01-20,2017-03-14
1677,3278,9,2017-04-22,2017-07-01
4044,4066,9,2017-01-20,2017-03-14
8037,8068,9,2017-03-28,2017-06-05
746,1023,9,2017-01-04,2017-04-20
1046,1651,9,2017-02-01,2017-04-14
5490,6020,9,2017-03-10,2017-05-30
4942,4990,9,2017-02-09,2017-05-03
4042,4316,9,2017-01-28,2017-03-13
2062,2075,9,2017-01-09,2017-05-11
4066,4083,9,2017-01-20,2017-03-14
2509,4656,9,2017-02-04,2017-03-20
4178,8121,9,2017-04-29,2017-07-24
727,752,9,2017-01-02,2017-03-25
2294,3544,9,2017-01-22,2017-05-09
407,1484,9,2017-02-02,2017-03-13
4080,4083,9,2017-01-20,2017-03-14
760,772,9,2017-01-02,2017-01-31
5771,5798,9,2017-02-24,2017-07-04
3093,6813,9,2017-04-15,2017-06-12
4042,4053,9,2017-01-20,2017-03-13
716,751,9,2017-01-02,2017-01-31
3180,4483,9,2017-02-27,2017-07-20
3356,7505,9,2017-04-10,2017-06-24
1001,1095,9,2017-01-02,2017-01-31
716,760,9,2017-01-02,2017-01-31
975,2867,9,2017-02-04,2017-04-15
2401,3472,9,2017-02-22,2017-05-22
6560,8260,9,2017-04-25,2017-07-12
4034,7209,9,2017-05-17,2017-07-11
407,2867,9,2017-02-02,2017-03-13
4700,6020,9,2017-03-10,2017-07-11
813,833,9,2017-01-02,2017-05-02
2857,2906,9,2017-02-04,2017-05-19
5706,5798,9,2017-02-24,2017-05-03
2511,4053,9,2017-02-07,2017-04-24
2969,4042,9,2017-02-07,2017-06-16
2717,5494,9,2017-02-22,2017-05-03
4316,5500,9,2017-02-22,2017-05-03
7820,7872,9,2017-03-24,2017-05-29
1158,4761,9,2017-03-10,2017-06-30
2939,6020,9,2017-03-10,2017-05-30
5734,5771,9,2017-02-24,2017-05-03
746,760,9,2017-01-02,2017-01-31
802,831,9,2017-01-02,2017-04-21
3590,7605,9,2017-04-22,2017-06-12
2911,2988,9,2017-01-10,2017-04-10
724,772,9,2017-01-02,2017-01-31
716,772,9,2017-01-02,2017-01-31
740,755,9,2017-01-02,2017-06-20
407,2717,9,2017-02-02,2017-03-13
5478,5486,9,2017-02-17,2017-06-04
2759,5494,9,2017-02-22,2017-05-03
4044,4083,9,2017-01-20,2017-03-14
2759,5500,9,2017-02-22,2017-05-03
3548,3561,9,2017-01-15,2017-04-26
5720,5798,9,2017-02-24,2017-05-03
4820,7209,9,2017-05-22,2017-07-18
731,774,9,2017-01-02,2017-03-06
740,760,9,2017-01-02,2017-01-31
8225,8234,9,2017-03-31,2017-07-12
763,772,9,2017-01-02,2017-01-31
5464,5486,9,2017-02-17,2017-06-04
5720,5744,9,2017-02-24,2017-05-03
4012,4066,9,2017-01-20,2017-03-14
4012,4339,9,2017-01-31,2017-04-12
6813,7605,9,2017-04-22,2017-06-12
4011,4066,9,2017-01-20,2017-03-14
975,2969,9,2017-01-25,2017-03-13
2773,6878,9,2017-04-13,2017-07-21
5423,7039,9,2017-04-17,2017-06-11
4013,4016,9,2017-01-20,2017-03-10
2717,5443,9,2017-02-22,2017-05-03
1413,4200,9,2017-02-12,2017-05-12
4009,4066,9,2017-01-20,2017-03-14
2511,2759,9,2017-02-02,2017-03-13
4674,4969,9,2017-02-27,2017-05-09
1001,1053,9,2017-01-02,2017-01-31
53,2062,9,2017-01-10,2017-05-29
5420,5467,9,2017-02-17,2017-03-20
6100,8411,9,2017-05-01,2017-07-08
3418,3503,9,2017-04-30,2017-06-28
3937,5467,9,2017-03-10,2017-04-30
5423,6813,9,2017-04-15,2017-06-18
4339,4364,9,2017-01-24,2017-03-14
1677,3418,9,2017-04-30,2017-06-18
1715,7209,9,2017-05-22,2017-07-18
1025,1026,9,2017-01-02,2017-04-10
2717,5440,9,2017-02-22,2017-05-03
4011,4080,9,2017-01-20,2017-03-14
368,3414,9,2017-01-17,2017-05-15
407,2939,9,2017-02-04,2017-04-02
5808,5865,9,2017-02-25,2017-05-26
4016,4059,9,2017-01-20,2017-03-10
1484,2717,9,2017-02-02,2017-03-13
975,2511,9,2017-02-04,2017-04-15
5706,5788,9,2017-02-24,2017-05-09
701,772,9,2017-01-02,2017-01-31
7662,8158,9,2017-04-20,2017-06-11
4025,4042,9,2017-01-20,2017-03-13
2773,4674,9,2017-02-07,2017-05-03
2717,5500,9,2017-02-22,2017-05-03
1272,2501,9,2017-01-21,2017-05-16
7768,7799,9,2017-03-23,2017-06-24
1976,1984,9,2017-01-08,2017-03-26
2867,2939,9,2017-02-04,2017-07-05
3735,7685,9,2017-04-20,2017-07-21
3589,9282,9,2017-05-11,2017-07-23
364,368,9,2017-01-01,2017-01-31
716,746,9,2017-01-02,2017-01-31
61,2345,9,2017-01-10,2017-07-11
750,773,9,2017-01-02,2017-04-05
3609,3637,9,2017-01-15,2017-06-04
2717,5491,9,2017-02-22,2017-05-03
1666,4011,9,2017-02-07,2017-05-27
2973,8363,9,2017-04-27,2017-07-01
374,733,9,2017-01-04,2017-03-24
2717,4373,9,2017-02-07,2017-05-03
1677,7662,8,2017-04-20,2017-05-30
730,768,8,2017-01-02,2017-07-18
2941,4009,8,2017-02-07,2017-04-12
5720,5761,8,2017-02-24,2017-05-03
2068,9098,8,2017-06-06,2017-07-24
1432,2857,8,2017-02-02,2017-05-06
1337,4025,8,2017-02-07,2017-04-15
7039,7662,8,2017-04-22,2017-06-11
4171,6208,8,2017-05-01,2017-07-30
392,4034,8,2017-05-18,2017-07-11
719,721,8,2017-01-02,2017-02-27
2105,2106,8,2017-01-09,2017-03-24
281,3193,8,2017-01-20,2017-04-29
905,2992,8,2017-01-25,2017-04-22
4011,4339,8,2017-01-31,2017-03-14
1337,2717,8,2017-02-04,2017-03-13
407,4399,8,2017-02-07,2017-04-02
5720,5788,8,2017-02-24,2017-05-03
1884,4990,8,2017-02-27,2017-05-03
5954,5977,8,2017-03-05,2017-05-03
2294,4316,8,2017-03-10,2017-05-12
5332,6507,8,2017-04-25,2017-07-30
719,774,8,2017-01-02,2017-02-27
407,1337,8,2017-02-04,2017-03-13
3576,4969,8,2017-02-28,2017-05-09
1208,5482,8,2017-04-22,2017-06-05
752,760,8,2017-01-02,2017-01-29
4059,4080,8,2017-01-20,2017-03-03
1464,4011,8,2017-02-07,2017-04-05
407,4388,8,2017-02-07,2017-04-02
733,771,8,2017-01-02,2017-01-29
739,763,8,2017-01-02,2017-01-29
1692,2560,8,2017-01-24,2017-03-20
4632,4656,8,2017-02-02,2017-04-12
2717,2969,8,2017-02-04,2017-03-13
6813,7872,8,2017-04-17,2017-05-30
5482,7662,8,2017-04-20,2017-05-30
752,759,8,2017-01-02,2017-01-29
364,746,8,2017-01-04,2017-04-20
5706,5734,8,2017-02-24,2017-05-03
739,755,8,2017-01-02,2017-01-29
740,771,8,2017-01-02,2017-01-29
2279,3509,8,2017-01-28,2017-04-17
4053,4388,8,2017-01-31,2017-03-13
6855,6897,8,2017-03-15,2017-05-29
4042,4080,8,2017-01-20,2017-03-03
1484,2959,8,2017-02-04,2017-03-13
364,374,8,2017-01-01,2017-01-29
2939,4388,8,2017-02-07,2017-04-02
1012,2645,8,2017-02-10,2017-04-20
211,8363,8,2017-05-29,2017-07-13
758,795,8,2017-01-02,2017-02-23
701,771,8,2017-01-02,2017-01-29
3002,3064,8,2017-01-10,2017-07-11
950,2993,8,2017-01-25,2017-05-03
4053,4395,8,2017-01-31,2017-03-13
191,4820,8,2017-05-22,2017-07-12
2941,2959,8,2017-01-10,2017-03-03
3002,3028,8,2017-01-10,2017-07-11
3503,5789,8,2017-04-17,2017-05-30
419,2269,8,2017-03-04,2017-06-17
4552,8048,8,2017-05-07,2017-06-24
191,6729,8,2017-05-22,2017-07-12
293,299,8,2017-01-01,2017-02-28
771,772,8,2017-01-02,2017-01-29
1095,3440,8,2017-01-17,2017-05-12
1498,2728,8,2017-01-20,2017-04-29
997,2993,8,2017-01-25,2017-05-03
4009,4395,8,2017-01-31,2017-05-12
701,755,8,2017-01-02,2017-01-29
1484,2939,8,2017-02-04,2017-03-13
407,4042,8,2017-02-07,2017-04-02
2277,4200,8,2017-02-12,2017-05-20
5769,5788,8,2017-02-24,2017-05-03
1045,1095,8,2017-01-02,2017-05-24
928,2717,8,2017-02-04,2017-03-13
5734,5798,8,2017-02-24,2017-05-03
5720,5769,8,2017-02-24,2017-05-03
4607,4990,8,2017-02-27,2017-05-03
4607,4942,8,2017-02-27,2017-05-03
2926,3093,8,2017-04-17,2017-06-12
749,795,8,2017-01-02,2017-02-23
407,1371,8,2017-02-04,2017-03-13
4969,6064,8,2017-03-10,2017-05-12
6447,6813,8,2017-05-17,2017-06-24
3590,6447,8,2017-05-17,2017-06-24
3188,3421,8,2017-01-23,2017-07-12
1865,4942,8,2017-02-27,2017-05-03
2221,2222,8,2017-01-09,2017-04-09
1982,5096,8,2017-03-27,2017-06-20
733,755,8,2017-01-02,2017-01-29
385,1043,8,2017-01-03,2017-03-06
794,2911,8,2017-02-23,2017-05-15
4316,6064,8,2017-03-10,2017-05-12
8562,8584,8,2017-04-07,2017-07-23
5414,5456,8,2017-02-17,2017-07-16
746,755,8,2017-01-02,2017-01-29
2717,2783,8,2017-01-10,2017-03-03
1498,4933,8,2017-02-27,2017-05-22
392,7898,8,2017-05-18,2017-07-11
739,771,8,2017-01-02,2017-01-29
5706,5724,8,2017-02-24,2017-05-03
3544,4674,8,2017-02-28,2017-05-09
8256,8269,8,2017-03-31,2017-07-05
392,7209,8,2017-05-18,2017-07-11
2783,2789,8,2017-01-10,2017-03-03
3021,3090,8,2017-01-10,2017-07-23
1432,2776,8,2017-02-02,2017-05-06
4016,4042,8,2017-01-20,2017-03-03
2939,5456,8,2017-02-22,2017-05-12
4009,5414,8,2017-02-22,2017-05-12
3503,4249,8,2017-04-30,2017-06-24
759,771,8,2017-01-02,2017-01-29
915,975,8,2017-01-02,2017-03-03
1371,4025,8,2017-02-07,2017-04-15
780,1033,8,2017-01-08,2017-07-12
625,1635,8,2017-01-24,2017-05-29
8363,8961,8,2017-05-29,2017-07-13
5766,5795,8,2017-02-24,2017-05-19
7082,8209,8,2017-04-08,2017-05-29
1677,2926,8,2017-04-22,2017-06-18
1849,4034,8,2017-05-18,2017-07-11
191,1715,8,2017-05-22,2017-07-12
308,309,8,2017-01-01,2017-02-27
740,759,8,2017-01-02,2017-01-29
2137,2182,8,2017-01-09,2017-04-10
2759,2789,8,2017-01-10,2017-03-03
3679,3698,8,2017-01-15,2017-04-13
1482,2783,8,2017-02-02,2017-03-10
2734,2993,8,2017-02-15,2017-07-04
1208,8190,8,2017-04-22,2017-06-05
650,684,8,2017-01-02,2017-03-09
1464,1484,8,2017-01-04,2017-03-03
2939,2941,8,2017-01-10,2017-03-03
3971,3994,8,2017-01-19,2017-04-15
2511,2959,8,2017-02-04,2017-03-13
5332,5869,8,2017-04-25,2017-07-30
728,736,8,2017-01-02,2017-07-26
378,758,8,2017-01-04,2017-07-13
1272,2556,8,2017-01-21,2017-04-16
5724,5761,8,2017-02-24,2017-05-03
733,763,8,2017-01-02,2017-01-29
5724,5798,8,2017-02-24,2017-05-03
2780,5912,8,2017-03-10,2017-05-31
5481,6064,8,2017-03-10,2017-05-12
2294,6064,8,2017-03-10,2017-05-12
7662,7872,8,2017-04-22,2017-06-06
3356,7810,8,2017-05-02,2017-06-24
4353,4373,8,2017-01-24,2017-03-10
3851,4584,8,2017-02-02,2017-07-18
5769,5798,8,2017-02-24,2017-05-03
4554,4945,8,2017-03-13,2017-07-19
9619,9620,8,2017-05-09,2017-07-15
739,760,8,2017-01-02,2017-01-29
959,2993,8,2017-01-25,2017-05-03
6827,6896,8,2017-03-15,2017-06-30
191,5522,8,2017-05-22,2017-07-12
7162,10819,8,2017-07-01,2017-07-29
724,759,8,2017-01-02,2017-01-29
191,7209,8,2017-05-22,2017-07-12
333,369,8,2017-01-01,2017-03-20
3937,3963,8,2017-01-19,2017-05-12
1371,5423,8,2017-02-22,2017-04-22
7860,8363,8,2017-04-27,2017-06-25
4359,9997,8,2017-05-15,2017-07-04
733,772,8,2017-01-02,2017-01-29
364,1053,8,2017-01-03,2017-01-31
610,3123,8,2017-01-13,2017-03-17
3941,3980,8,2017-01-19,2017-07-24
1371,2717,8,2017-02-04,2017-03-13
6522,6548,8,2017-03-13,2017-07-18
3735,7605,8,2017-04-20,2017-07-12
1849,7209,8,2017-05-18,2017-07-11
6453,6474,8,2017-03-13,2017-07-22
1646,7605,8,2017-04-20,2017-07-12
